"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 12 08:44:12 UTC 2026","Mon Jan 12 08:44:12 UTC 2026","471","chromium","login.spec.js","登入功能測試","","","空白密碼應顯示必填提示",""
"passed","Mon Jan 12 08:44:10 UTC 2026","Mon Jan 12 08:44:10 UTC 2026","553","chromium","login.spec.js","登入功能測試","","","正確帳密應成功登入並看到商品頁",""
"passed","Mon Jan 12 08:44:09 UTC 2026","Mon Jan 12 08:44:10 UTC 2026","679","chromium","checkout.spec.js","結帳功能測試","","","訂單摘要頁應顯示正確的商品數量",""
"passed","Mon Jan 12 08:44:03 UTC 2026","Mon Jan 12 08:44:04 UTC 2026","638","chromium","cart.spec.js","購物車功能測試","","","商品頁應顯示 6 個商品",""
"passed","Mon Jan 12 08:44:08 UTC 2026","Mon Jan 12 08:44:08 UTC 2026","680","chromium","checkout.spec.js","結帳功能測試","","","結帳時未填寫姓氏應顯示錯誤",""
"passed","Mon Jan 12 08:44:07 UTC 2026","Mon Jan 12 08:44:08 UTC 2026","692","chromium","checkout.spec.js","結帳功能測試","","","結帳時未填寫名字應顯示錯誤",""
"passed","Mon Jan 12 08:44:05 UTC 2026","Mon Jan 12 08:44:05 UTC 2026","605","chromium","cart.spec.js","購物車功能測試","","","加入一個商品後購物車應顯示 1",""
"passed","Mon Jan 12 08:44:08 UTC 2026","Mon Jan 12 08:44:09 UTC 2026","674","chromium","checkout.spec.js","結帳功能測試","","","結帳時未填寫郵遞區號應顯示錯誤",""
"passed","Mon Jan 12 08:44:11 UTC 2026","Mon Jan 12 08:44:12 UTC 2026","578","chromium","login.spec.js","登入功能測試","","","空白帳號應顯示必填提示",""
"passed","Mon Jan 12 08:44:11 UTC 2026","Mon Jan 12 08:44:11 UTC 2026","498","chromium","login.spec.js","登入功能測試","","","錯誤帳密應顯示驗證失敗訊息",""
"passed","Mon Jan 12 08:44:05 UTC 2026","Mon Jan 12 08:44:06 UTC 2026","615","chromium","cart.spec.js","購物車功能測試","","","加入多個商品後購物車數量應正確",""
"passed","Mon Jan 12 08:44:10 UTC 2026","Mon Jan 12 08:44:11 UTC 2026","488","chromium","login.spec.js","登入功能測試","","","被鎖定帳號應顯示錯誤訊息",""
"passed","Mon Jan 12 08:44:06 UTC 2026","Mon Jan 12 08:44:07 UTC 2026","719","chromium","checkout.spec.js","結帳功能測試","","","完整結帳流程應成功完成訂單",""
